var,beta
const,91.69169437687479
I(i=2),-19.393508436478655
I(i=3),9.166650090264469
I(i=4),-25.846007109780867
I(i=5),19.05585626285305
I(i=6),-57.80544658391743
I(i=7),3.4744432284795717
I(i=8),24.23984309636889
I(i=9),-4.2073242678496205
I(i=10),32.958096669787075
t_i1,-0.033716754530544915
t_i2,-0.009607726850692696
t_i3,-0.041451052621013215
t_i4,0.052320243750359985
t_i5,-0.07970277082279265
t_i6,0.07756456316439637
t_i7,-0.0434642440735324
t_i8,-0.07666293893139951
t_i9,-0.04338578884369726
t_i10,-0.12426874831934628
sin1,11.302990467825737
cos1,-6.799161006125152
H_m7,1.910631305329809
H_l7,2.25226708896156
A_m_f,-0.21834091810966869
A_l_f,-0.030104581434361986
has_m,13.362471960114181
has_l,14.678381201832634
