var,beta
const,92.78392
I(i=2),-11.43273
I(i=3),16.50197
I(i=4),-27.86143
I(i=5),20.1334
I(i=6),-46.75692
I(i=7),2.65186
I(i=8),31.89391
I(i=9),2.55246
I(i=10),43.66262
t_i1,-0.17941
t_i2,-0.17919
t_i3,-0.22476
t_i4,-0.09622
t_i5,-0.23421
t_i6,-0.11127
t_i7,-0.19506
t_i8,-0.24854
t_i9,-0.21589
t_i10,-0.32742
sin1,7.79
cos1,-7.85135
H_m7,0.68827
H_l7,-2.41559
A_m_f,-0.11254
A_l_f,-0.01226
has_m,9.78225
has_l,-4.41004
C_m,9.87866
C_l,22.11747
