var,beta
const,91.69169437686213
I(i=2),-19.39350843646699
I(i=3),9.166650090277969
I(i=4),-25.846007109763665
I(i=5),19.055856262853364
I(i=6),-57.805446583898515
I(i=7),3.474443228484921
I(i=8),24.239843096381808
I(i=9),-4.207324267843963
I(i=10),32.95809666979259
t_i1,-0.03371675453053226
t_i2,-0.009607726850705605
t_i3,-0.041451052621014915
t_i4,0.05232024375034537
t_i5,-0.07970277082276954
t_i6,0.07756456316438023
t_i7,-0.04346424407353274
t_i8,-0.07666293893141378
t_i9,-0.043385788843686664
t_i10,-0.12426874831933739
sin1,11.302990467825675
cos1,-6.79916100612426
H_m7,1.910631305332106
H_l7,2.2522670889569483
A_m_f,-0.21834091810964154
A_l_f,-0.030104581434374944
has_m,13.362471960116665
has_l,14.678381201831764
