i,d,q,season,y_pre,y_post,n_pre,n_post,R
9,2024-10-15,m,秋,88.16484619123435,102.99952451130562,7,7,14.834678320071276
9,2024-12-15,m,冬,75.18090205548644,81.3075047431318,6,6,6.126602687645359
9,2025-01-31,m,冬,53.419945747486544,81.82279800948528,3,4,28.40285226199874
9,2025-03-19,m,春,64.03682607102834,79.97979655365016,6,3,15.942970482621817
9,2025-05-15,l,春,67.32835652470554,82.45298187890285,6,6,15.124625354197306
9,2025-07-09,m,夏,74.45185570634827,92.02710901396522,6,6,17.575253307616947
9,2025-09-12,m,秋,83.55620252646459,104.20964257210622,7,7,20.65344004564163
9,2025-11-16,m,秋,71.33617562637504,88.17960739150199,6,7,16.84343176512695
9,2026-01-09,m,冬,59.50151766792667,67.79910910182376,7,7,8.29759143389709
10,2024-05-25,m,春,119.86229114391563,141.56558968362228,7,6,21.70329853970665
10,2024-10-01,m,秋,125.9662618723673,125.69892800600057,7,7,-0.2673338663667266
10,2024-11-20,m,秋,97.61618829851716,99.31250873196748,5,7,1.6963204334503246
10,2025-01-18,m,冬,69.52290198297845,93.8214712590701,6,6,24.29856927609164
10,2025-02-24,m,冬,76.53661578222648,92.36424487342644,7,6,15.827629091199967
10,2025-04-11,l,春,80.95331262253272,94.94127875951042,4,5,13.987966136977704
10,2025-06-05,m,夏,83.43592950712959,102.15677669461924,6,6,18.720847187489653
10,2025-08-19,m,夏,96.80071449799983,101.18328254194343,5,7,4.382568043943593
10,2025-11-01,m,秋,64.42909091956292,75.98129762829508,6,7,11.552206708732157
10,2026-01-01,l,冬,37.91118235316391,47.65372517129928,6,6,9.74254281813537
