i,d,y,n,resid_ols,resid_wls
1,2024-04-03,91.4708084107437,21,6.578275039994054,7.0686220020549655
1,2024-04-04,91.90441645862704,14,6.850164608858918,7.339543537154313
1,2024-04-05,90.86781907249656,16,5.64989459501011,6.1383059249666445
1,2024-04-09,90.5920634434511,13,4.701083491796723,5.185628952638993
1,2024-04-10,90.13052322145,21,4.0669870158542665,4.550567181796154
1,2024-04-12,89.48510208338345,22,3.07172801785552,3.553379056752732
1,2024-04-13,89.36090366414851,24,2.7703714699410824,3.2510586920939772
1,2024-04-14,89.29039819282431,24,2.5212981272788966,3.0010220405608123
1,2024-04-15,89.17088401706135,12,2.2218691559555737,2.7006302755685994
1,2024-04-16,89.94245435575525,22,2.812240991879392,3.2900398402018425
1,2024-04-17,89.5581756416697,15,2.2455436646963705,2.7223807711282433
1,2024-04-18,88.2686798262524,23,0.7724730837867355,1.2483489845930222
1,2024-04-19,88.0531117327647,22,0.3722383724685443,0.8471536106205804
1,2024-04-20,88.23268964351685,24,0.36612243620531615,0.8400775612200846
1,2024-04-21,86.9142912164223,13,-1.1389321399624777,-0.6659365721849753
1,2024-04-22,86.3922355631261,17,-1.8485410325021547,-1.3765044598433605
1,2024-04-24,85.9349885866417,13,-2.6833236024924787,-2.2132033096747534
1,2024-04-25,85.55122542694724,24,-3.2569374429330225,-2.7877744232394264
1,2024-04-26,84.9646648733255,16,-4.033982459402793,-3.5657761275216586
1,2024-04-27,85.2672854520632,23,-3.922413780867771,-3.4551635461180297
1,2024-04-28,85.190845401632,23,-4.190406656195194,-3.7241119227011126
1,2024-04-29,83.9285500706377,16,-5.644689075886475,-5.179349242754043
1,2024-05-15,83.8064688426062,15,-8.84296061749508,-8.392814078026603
1,2024-05-16,84.13198432827781,24,-8.706567887022004,-8.25736544214233
1,2024-05-17,83.4046789512127,24,-9.622227620405113,-9.173968610474972
1,2024-05-20,105.486085217334,23,-2.9370395685450035,-2.630773041485682
1,2024-05-21,105.0271094199965,24,-3.3623006294850484,-3.057232479309107
1,2024-05-22,104.546144923329,19,-3.8084560804071685,-3.504585642196531
1,2024-05-23,104.088314753291,13,-4.230318607987883,-3.927645216358073
1,2024-05-24,103.966748246511,23,-4.314694931082286,-4.013217920379219
1,2024-05-25,103.750314015008,24,-4.492652854924458,-4.192371559421531
1,2024-05-26,103.558973108146,24,-2.733536822658536,-2.4574254840425027
1,2024-05-27,103.415381917494,13,-2.835890250500327,-2.560973296201496
1,2024-05-28,103.210160278292,20,-2.998399612876966,-2.7246763781327843
1,2024-05-29,103.279066869451,23,-2.885244282206756,-2.6127141029697185
1,2024-05-30,103.098446642794,21,-3.020017812660086,-2.7486800257941297
1,2024-06-03,103.1424062602475,14,-2.7754788916504936,-2.5089040679989125
1,2024-06-04,103.286898095096,16,-2.5762453460868073,-2.3108596196537547
1,2024-06-05,103.000494658126,19,-2.805950708496738,-2.5417534257224332
1,2024-06-06,101.9925354190515,24,-3.755197699118085,-3.4921882087189857
1,2024-06-07,102.6290379061675,22,-3.057911575634293,-2.7960892287957364
1,2024-06-08,103.476529770075,18,-2.147508086379659,-1.8868722369479372
1,2024-06-09,102.723809566616,12,-2.8351327041537644,-2.575682708827273
1,2024-06-10,102.899179186928,23,-2.592428212729615,-2.33416343124928
