i,T_M,T_L,L_years,retired,EAC,param,level,c_value
4,120,inf,20.0,False,23.219,c_m,-0.1,2.7
5,90,540,5.62,True,72.508,c_m,-0.1,2.7
6,120,inf,20.0,False,23.219,c_m,-0.1,2.7
7,120,450,8.47,True,53.38,c_m,-0.1,2.7
8,50,540,2.01,True,176.943,c_m,-0.1,2.7
9,60,300,2.87,True,135.514,c_m,-0.1,2.7
10,40,180,1.3,True,279.21,c_m,-0.1,2.7
1,120,720,20.0,False,30.222,c_m,0.0,3.0
2,80,450,8.46,True,58.877,c_m,0.0,3.0
3,80,240,2.96,True,133.133,c_m,0.0,3.0
4,120,inf,20.0,False,24.132,c_m,0.0,3.0
5,90,540,5.62,True,73.726,c_m,0.0,3.0
6,120,inf,20.0,False,24.132,c_m,0.0,3.0
7,120,450,8.47,True,54.293,c_m,0.0,3.0
8,60,inf,1.87,True,178.956,c_m,0.0,3.0
9,60,300,2.87,True,137.34,c_m,0.0,3.0
10,40,180,1.3,True,281.949,c_m,0.0,3.0
1,120,720,20.0,False,31.135,c_m,0.1,3.3
2,80,450,8.46,True,60.246,c_m,0.1,3.3
3,80,240,2.96,True,134.503,c_m,0.1,3.3
4,120,inf,20.0,False,25.045,c_m,0.1,3.3
5,90,540,5.62,True,74.943,c_m,0.1,3.3
6,120,inf,20.0,False,25.045,c_m,0.1,3.3
7,120,450,8.47,True,55.206,c_m,0.1,3.3
8,60,inf,1.87,True,180.783,c_m,0.1,3.3
9,60,300,2.87,True,139.166,c_m,0.1,3.3
10,40,180,1.3,True,284.689,c_m,0.1,3.3
1,120,720,20.0,False,32.048,c_m,0.2,3.6
2,100,360,8.32,True,61.362,c_m,0.2,3.6
3,100,240,2.88,True,135.777,c_m,0.2,3.6
4,120,inf,20.0,False,25.958,c_m,0.2,3.6
5,90,540,5.62,True,76.161,c_m,0.2,3.6
6,120,inf,20.0,False,25.958,c_m,0.2,3.6
7,120,450,8.47,True,56.119,c_m,0.2,3.6
8,60,inf,1.87,True,182.61,c_m,0.2,3.6
9,60,300,2.87,True,140.992,c_m,0.2,3.6
10,50,180,1.27,True,286.904,c_m,0.2,3.6
1,120,720,20.0,False,32.962,c_m,0.3,3.9
2,120,360,7.82,True,62.387,c_m,0.3,3.9
3,100,240,2.88,True,136.873,c_m,0.3,3.9
4,120,inf,20.0,False,26.872,c_m,0.3,3.9
5,90,540,5.62,True,77.379,c_m,0.3,3.9
6,120,inf,20.0,False,26.872,c_m,0.3,3.9
7,120,450,8.47,True,57.032,c_m,0.3,3.9
8,60,inf,1.87,True,184.437,c_m,0.3,3.9
9,60,300,2.87,True,142.818,c_m,0.3,3.9
10,60,180,1.25,True,288.862,c_m,0.3,3.9
1,120,720,20.0,False,28.395,c_l,-0.3,8.4
2,100,300,8.83,True,55.149,c_l,-0.3,8.4
3,80,240,2.96,True,127.657,c_l,-0.3,8.4
4,120,inf,20.0,False,24.132,c_l,-0.3,8.4
5,90,540,5.62,True,71.289,c_l,-0.3,8.4
6,120,inf,20.0,False,24.132,c_l,-0.3,8.4
7,120,450,8.47,True,51.372,c_l,-0.3,8.4
8,50,540,2.01,True,176.702,c_l,-0.3,8.4
9,70,180,3.0,True,132.875,c_l,-0.3,8.4
10,50,120,1.33,True,273.37,c_l,-0.3,8.4
1,120,720,20.0,False,29.004,c_l,-0.2,9.6
2,100,300,8.83,True,56.61,c_l,-0.2,9.6
3,80,240,2.96,True,129.483,c_l,-0.2,9.6
4,120,inf,20.0,False,24.132,c_l,-0.2,9.6
5,90,540,5.62,True,72.102,c_l,-0.2,9.6
6,120,inf,20.0,False,24.132,c_l,-0.2,9.6
7,120,450,8.47,True,52.346,c_l,-0.2,9.6
8,50,540,2.01,True,177.513,c_l,-0.2,9.6
9,60,300,2.87,True,134.415,c_l,-0.2,9.6
10,50,120,1.33,True,277.021,c_l,-0.2,9.6
1,120,720,20.0,False,29.613,c_l,-0.1,10.8
2,90,360,8.64,True,57.872,c_l,-0.1,10.8
3,80,240,2.96,True,131.308,c_l,-0.1,10.8
4,120,inf,20.0,False,24.132,c_l,-0.1,10.8
5,90,540,5.62,True,72.914,c_l,-0.1,10.8
6,120,inf,20.0,False,24.132,c_l,-0.1,10.8
7,120,450,8.47,True,53.319,c_l,-0.1,10.8
