i,T_M,T_L,T_L_label,L_days,L_years,retired,n_M,n_L,cost_total,EAC
9,100,99999,inf,740,2.026,True,7.4,0.0,322.2,159.032
9,120,120,120,1004,2.749,True,8.37,8.37,425.5,154.795
9,120,180,180,977,2.675,True,8.14,5.43,389.56,145.636
9,120,240,240,958,2.623,True,7.98,3.99,371.85,141.773
9,120,300,300,927,2.538,True,7.72,3.09,360.25,141.945
9,120,360,360,917,2.511,True,7.64,2.55,353.49,140.799
9,120,450,450,903,2.472,True,7.53,2.01,346.65,140.217
9,120,540,540,887,2.428,True,7.39,1.64,341.89,140.782
9,120,720,720,716,1.96,True,5.97,0.99,329.83,168.256
9,120,99999,inf,716,1.96,True,5.97,0.0,317.9,162.169
10,30,120,120,420,1.15,True,14.0,3.5,384.0,333.943
10,30,180,180,413,1.131,True,13.77,2.29,368.83,326.19
10,30,240,240,405,1.109,True,13.5,1.69,360.75,325.343
10,30,300,300,400,1.095,True,13.33,1.33,356.0,325.072
10,30,360,360,391,1.07,True,13.03,1.09,352.13,328.943
10,30,450,450,378,1.035,True,12.6,0.84,347.88,336.146
10,30,540,540,378,1.035,True,12.6,0.7,346.2,334.523
10,30,720,720,378,1.035,True,12.6,0.53,344.1,332.493
10,30,99999,inf,378,1.035,True,12.6,0.0,337.8,326.406
10,40,120,120,411,1.125,True,10.28,3.42,371.92,330.525
10,40,180,180,404,1.106,True,10.1,2.24,357.23,322.969
10,40,240,240,397,1.087,True,9.93,1.65,349.62,321.664
10,40,300,300,392,1.073,True,9.8,1.31,345.08,321.532
10,40,360,360,379,1.038,True,9.47,1.05,341.06,328.685
10,40,450,450,369,1.01,True,9.23,0.82,337.51,334.085
10,40,540,540,369,1.01,True,9.23,0.68,335.88,332.462
10,40,720,720,369,1.01,True,9.23,0.51,333.82,330.432
10,40,99999,inf,369,1.01,True,9.23,0.0,327.68,324.345
10,50,120,120,403,1.103,True,8.06,3.36,364.48,330.338
10,50,180,180,396,1.084,True,7.92,2.2,350.16,322.97
10,50,240,240,390,1.068,True,7.8,1.62,342.9,321.139
10,50,300,300,384,1.051,True,7.68,1.28,338.4,321.877
10,50,360,360,367,1.005,True,7.34,1.02,334.25,332.659
10,50,450,450,360,0.986,True,7.2,0.8,331.2,336.03
10,50,540,540,360,0.986,True,7.2,0.67,329.6,334.407
10,50,720,720,360,0.986,True,7.2,0.5,327.6,332.378
10,50,99999,inf,360,0.986,True,7.2,0.0,321.6,326.29
10,60,120,120,396,1.084,True,6.6,3.3,359.4,331.492
10,60,180,180,390,1.068,True,6.5,2.17,345.5,323.574
10,60,240,240,381,1.043,True,6.35,1.59,338.1,324.123
10,60,300,300,373,1.021,True,6.22,1.24,333.57,326.639
10,60,360,360,358,0.98,True,5.97,0.99,329.83,336.513
10,60,450,450,354,0.969,True,5.9,0.79,327.14,337.536
10,60,540,540,354,0.969,True,5.9,0.66,325.57,335.913
10,60,720,720,354,0.969,True,5.9,0.49,323.6,333.884
10,60,99999,inf,354,0.969,True,5.9,0.0,317.7,327.796
10,70,120,120,390,1.068,True,5.57,3.25,355.71,333.14
10,70,180,180,380,1.04,True,5.43,2.11,341.62,328.359
10,70,240,240,373,1.021,True,5.33,1.55,334.64,327.683
10,70,300,300,365,0.999,True,5.21,1.22,330.24,330.469
10,70,360,360,349,0.956,True,4.99,0.97,326.59,341.797
10,70,450,450,346,0.947,True,4.94,0.77,324.06,342.084
10,70,540,540,346,0.947,True,4.94,0.64,322.52,340.461
10,70,720,720,346,0.947,True,4.94,0.48,320.6,338.432
10,70,99999,inf,346,0.947,True,4.94,0.0,314.83,332.344
10,80,120,120,377,1.032,True,4.71,3.14,351.84,340.872
10,80,180,180,369,1.01,True,4.61,2.05,338.44,334.998
10,80,240,240,364,0.997,True,4.55,1.52,331.85,332.99
10,80,300,300,357,0.977,True,4.46,1.19,327.67,335.24
10,80,360,360,343,0.939,True,4.29,0.95,324.3,345.333
10,80,450,450,342,0.936,True,4.28,0.76,321.94,343.832
10,80,540,540,342,0.936,True,4.28,0.63,320.43,342.208
10,80,720,720,342,0.936,True,4.28,0.47,318.52,340.179
10,80,99999,inf,342,0.936,True,4.28,0.0,312.82,334.092
10,90,120,120,372,1.018,True,4.13,3.1,349.6,343.256
10,90,180,180,362,0.991,True,4.02,2.01,336.2,339.218
10,90,240,240,357,0.977,True,3.97,1.49,329.75,337.37
10,90,300,300,348,0.953,True,3.87,1.16,325.52,341.656
10,90,360,360,331,0.906,True,3.68,0.92,322.07,355.392
10,90,450,450,331,0.906,True,3.68,0.74,319.86,352.957
10,90,540,540,331,0.906,True,3.68,0.61,318.39,351.334
