i,T_M,T_L,T_L_label,L_days,L_years,retired,n_M,n_L,cost_total,EAC
2,120,540,540,3754,10.278,True,31.28,6.95,477.27,46.437
2,120,720,720,3483,9.536,True,29.02,4.84,445.12,46.679
2,120,99999,inf,1302,3.565,True,10.85,0.0,332.55,93.29
3,30,120,120,1637,4.482,True,54.57,13.64,627.4,139.986
3,30,180,180,1615,4.422,True,53.83,8.97,569.17,128.723
3,30,240,240,1585,4.339,True,52.83,6.6,537.75,123.92
3,30,300,300,1574,4.309,True,52.47,5.25,520.36,120.751
3,30,360,360,1549,4.241,True,51.63,4.3,506.53,119.439
3,30,450,450,1525,4.175,True,50.83,3.39,493.17,118.117
3,30,540,540,1476,4.041,True,49.2,2.73,480.4,118.879
3,30,720,720,1324,3.625,True,44.13,1.84,454.47,125.373
3,30,99999,inf,1021,2.795,True,34.03,0.0,402.1,143.846
3,40,120,120,1608,4.402,True,40.2,13.4,581.4,132.062
3,40,180,180,1585,4.339,True,39.62,8.81,524.54,120.876
3,40,240,240,1563,4.279,True,39.08,6.51,495.38,115.762
3,40,300,300,1548,4.238,True,38.7,5.16,478.02,112.789
3,40,360,360,1521,4.164,True,38.02,4.22,464.77,111.61
3,40,450,450,1490,4.079,True,37.25,3.31,451.48,110.674
3,40,540,540,1459,3.995,True,36.48,2.7,441.85,110.613
3,40,720,720,1307,3.578,True,32.67,1.82,419.81,117.318
3,40,99999,inf,1005,2.752,True,25.12,0.0,375.38,136.424
3,50,120,120,1577,4.318,True,31.54,13.14,552.32,127.923
3,50,180,180,1556,4.26,True,31.12,8.64,497.09,116.686
3,50,240,240,1542,4.222,True,30.84,6.42,469.62,111.238
3,50,300,300,1522,4.167,True,30.44,5.07,452.2,108.519
3,50,360,360,1494,4.09,True,29.88,4.15,439.44,107.433
3,50,450,450,1456,3.986,True,29.12,3.24,426.19,106.913
3,50,540,540,1444,3.953,True,28.88,2.67,418.73,105.915
3,50,720,720,1293,3.54,True,25.86,1.8,399.13,112.747
3,50,99999,inf,991,2.713,True,19.82,0.0,359.46,132.485
3,60,120,120,1552,4.249,True,25.87,12.93,532.8,125.39
3,60,180,180,1530,4.189,True,25.5,8.5,478.5,114.23
3,60,240,240,1518,4.156,True,25.3,6.33,451.8,108.709
3,60,300,300,1500,4.107,True,25.0,5.0,435.0,105.923
3,60,360,360,1466,4.014,True,24.43,4.07,422.17,105.182
3,60,450,450,1423,3.896,True,23.72,3.16,409.1,105.005
3,60,540,540,1427,3.907,True,23.78,2.64,403.06,103.166
3,60,720,720,1274,3.488,True,21.23,1.77,384.93,110.359
3,60,99999,inf,971,2.658,True,16.18,0.0,348.55,131.11
3,70,120,120,1524,4.172,True,21.77,12.7,517.71,124.078
3,70,180,180,1505,4.12,True,21.5,8.36,464.83,112.811
3,70,240,240,1499,4.104,True,21.41,6.25,439.19,107.015
3,70,300,300,1450,3.97,True,20.71,4.83,420.14,105.833
3,70,360,360,1439,3.94,True,20.56,4.0,409.64,103.975
3,70,450,450,1387,3.797,True,19.81,3.08,396.43,104.395
3,70,540,540,1411,3.863,True,20.16,2.61,391.83,101.428
3,70,720,720,1257,3.441,True,17.96,1.75,374.82,108.913
3,70,99999,inf,957,2.62,True,13.67,0.0,341.01,130.152
3,80,120,120,1498,4.101,True,18.72,12.48,505.97,123.369
3,80,180,180,1484,4.063,True,18.55,8.24,454.58,111.884
3,80,240,240,1464,4.008,True,18.3,6.1,428.1,106.806
3,80,300,300,1417,3.88,True,17.71,4.72,409.82,105.636
3,80,360,360,1413,3.869,True,17.66,3.92,400.09,103.42
3,80,450,450,1348,3.691,True,16.85,3.0,386.5,104.724
3,80,540,540,1401,3.836,True,17.51,2.59,383.67,100.026
3,80,720,720,1247,3.414,True,15.59,1.73,367.55,107.655
3,80,99999,inf,940,2.574,True,11.75,0.0,335.25,130.266
3,90,120,120,1472,4.03,True,16.36,12.27,496.27,123.14
3,90,180,180,1451,3.973,True,16.12,8.06,445.1,112.042
3,90,240,240,1420,3.888,True,15.78,5.92,418.33,107.603
3,90,300,300,1394,3.817,True,15.49,4.65,402.23,105.39
3,90,360,360,1385,3.792,True,15.39,3.85,392.33,103.466
3,90,450,450,1323,3.622,True,14.7,2.94,379.38,104.738
3,90,540,540,1381,3.781,True,15.34,2.56,376.72,99.636
3,90,720,720,1227,3.359,True,13.63,1.7,361.35,107.566
3,90,99999,inf,926,2.535,True,10.29,0.0,330.87,130.507
3,100,120,120,1451,3.973,True,14.51,12.09,488.63,122.999
3,100,180,180,1439,3.94,True,14.39,7.99,439.1,111.454
3,100,240,240,1372,3.756,True,13.72,5.72,409.76,109.085
3,100,300,300,1364,3.734,True,13.64,4.55,395.48,105.901
3,100,360,360,1355,3.71,True,13.55,3.76,385.82,104.0
3,100,450,450,1281,3.507,True,12.81,2.85,372.59,106.236
3,100,540,540,1349,3.693,True,13.49,2.5,370.45,100.301
3,100,720,720,1216,3.329,True,12.16,1.69,356.75,107.156
3,100,99999,inf,911,2.494,True,9.11,0.0,327.33,131.237
3,120,120,120,1389,3.803,True,11.57,11.57,473.62,124.544
3,120,180,180,1366,3.74,True,11.38,7.59,425.22,113.697
3,120,240,240,1340,3.669,True,11.17,5.58,400.5,109.166
3,120,300,300,1324,3.625,True,11.03,4.41,386.06,106.502
3,120,360,360,1304,3.57,True,10.87,3.62,376.07,105.336
3,120,450,450,1256,3.439,True,10.47,2.79,364.89,106.112
3,120,540,540,1254,3.433,True,10.45,2.32,359.22,104.628
3,120,720,720,1184,3.242,True,9.87,1.64,349.33,107.765
3,120,99999,inf,878,2.404,True,7.32,0.0,321.95,133.932
4,30,120,120,99999,20.0,False,243.5,60.88,1761.0,88.05
4,30,180,180,99999,20.0,False,243.5,40.58,1517.5,75.875
4,30,240,240,99999,20.0,False,243.5,30.44,1395.75,69.787
4,30,300,300,99999,20.0,False,243.5,24.35,1322.7,66.135
4,30,360,360,99999,20.0,False,243.5,20.29,1274.0,63.7
4,30,450,450,99999,20.0,False,243.5,16.23,1225.3,61.265
4,30,540,540,99999,20.0,False,243.5,13.53,1192.83,59.642
4,30,720,720,99999,20.0,False,243.5,10.15,1152.25,57.612
4,30,99999,inf,99999,20.0,False,243.5,0.0,1030.5,51.525
4,40,120,120,99999,20.0,False,182.62,60.88,1578.38,78.919
4,40,180,180,99999,20.0,False,182.62,40.58,1334.88,66.744
4,40,240,240,99999,20.0,False,182.62,30.44,1213.12,60.656
4,40,300,300,99999,20.0,False,182.62,24.35,1140.08,57.004
4,40,360,360,99999,20.0,False,182.62,20.29,1091.38,54.569
4,40,450,450,99999,20.0,False,182.62,16.23,1042.67,52.134
4,40,540,540,99999,20.0,False,182.62,13.53,1010.21,50.51
4,40,720,720,99999,20.0,False,182.62,10.15,969.62,48.481
4,40,99999,inf,99999,20.0,False,182.62,0.0,847.88,42.394
4,50,120,120,99999,20.0,False,146.1,60.88,1468.8,73.44
4,50,180,180,99999,20.0,False,146.1,40.58,1225.3,61.265
4,50,240,240,99999,20.0,False,146.1,30.44,1103.55,55.177
4,50,300,300,99999,20.0,False,146.1,24.35,1030.5,51.525
4,50,360,360,99999,20.0,False,146.1,20.29,981.8,49.09
4,50,450,450,99999,20.0,False,146.1,16.23,933.1,46.655
4,50,540,540,99999,20.0,False,146.1,13.53,900.63,45.032
4,50,720,720,99999,20.0,False,146.1,10.15,860.05,43.002
4,50,99999,inf,99999,20.0,False,146.1,0.0,738.3,36.915
4,60,120,120,99999,20.0,False,121.75,60.88,1395.75,69.787
4,60,180,180,99999,20.0,False,121.75,40.58,1152.25,57.612
4,60,240,240,99999,20.0,False,121.75,30.44,1030.5,51.525
4,60,300,300,99999,20.0,False,121.75,24.35,957.45,47.873
4,60,360,360,99999,20.0,False,121.75,20.29,908.75,45.438
4,60,450,450,99999,20.0,False,121.75,16.23,860.05,43.002
4,60,540,540,99999,20.0,False,121.75,13.53,827.58,41.379
4,60,720,720,99999,20.0,False,121.75,10.15,787.0,39.35
4,60,99999,inf,99999,20.0,False,121.75,0.0,665.25,33.263
4,70,120,120,99999,20.0,False,104.36,60.88,1343.57,67.179
4,70,180,180,99999,20.0,False,104.36,40.58,1100.07,55.004
4,70,240,240,99999,20.0,False,104.36,30.44,978.32,48.916
4,70,300,300,99999,20.0,False,104.36,24.35,905.27,45.264
4,70,360,360,99999,20.0,False,104.36,20.29,856.57,42.829
4,70,450,450,99999,20.0,False,104.36,16.23,807.87,40.394
4,70,540,540,99999,20.0,False,104.36,13.53,775.4,38.77
4,70,720,720,99999,20.0,False,104.36,10.15,734.82,36.741
4,70,99999,inf,99999,20.0,False,104.36,0.0,613.07,30.654
4,80,120,120,99999,20.0,False,91.31,60.88,1304.44,65.222
4,80,180,180,99999,20.0,False,91.31,40.58,1060.94,53.047
4,80,240,240,99999,20.0,False,91.31,30.44,939.19,46.959
4,80,300,300,99999,20.0,False,91.31,24.35,866.14,43.307
4,80,360,360,99999,20.0,False,91.31,20.29,817.44,40.872
4,80,450,450,99999,20.0,False,91.31,16.23,768.74,38.437
4,80,540,540,99999,20.0,False,91.31,13.53,736.27,36.814
4,80,720,720,99999,20.0,False,91.31,10.15,695.69,34.784
4,80,99999,inf,99999,20.0,False,91.31,0.0,573.94,28.697
4,90,120,120,99999,20.0,False,81.17,60.88,1274.0,63.7
4,90,180,180,99999,20.0,False,81.17,40.58,1030.5,51.525
4,90,240,240,99999,20.0,False,81.17,30.44,908.75,45.438
4,90,300,300,99999,20.0,False,81.17,24.35,835.7,41.785
4,90,360,360,99999,20.0,False,81.17,20.29,787.0,39.35
4,90,450,450,99999,20.0,False,81.17,16.23,738.3,36.915
4,90,540,540,99999,20.0,False,81.17,13.53,705.83,35.292
4,90,720,720,99999,20.0,False,81.17,10.15,665.25,33.263
4,90,99999,inf,99999,20.0,False,81.17,0.0,543.5,27.175
4,100,120,120,99999,20.0,False,73.05,60.88,1249.65,62.483
4,100,180,180,99999,20.0,False,73.05,40.58,1006.15,50.307
4,100,240,240,99999,20.0,False,73.05,30.44,884.4,44.22
4,100,300,300,99999,20.0,False,73.05,24.35,811.35,40.568
4,100,360,360,99999,20.0,False,73.05,20.29,762.65,38.133
4,100,450,450,99999,20.0,False,73.05,16.23,713.95,35.698
4,100,540,540,99999,20.0,False,73.05,13.53,681.48,34.074
4,100,720,720,99999,20.0,False,73.05,10.15,640.9,32.045
4,100,99999,inf,99999,20.0,False,73.05,0.0,519.15,25.957
4,120,120,120,99999,20.0,False,60.88,60.88,1213.12,60.656
4,120,180,180,99999,20.0,False,60.88,40.58,969.62,48.481
4,120,240,240,99999,20.0,False,60.88,30.44,847.88,42.394
4,120,300,300,99999,20.0,False,60.88,24.35,774.83,38.741
4,120,360,360,99999,20.0,False,60.88,20.29,726.12,36.306
4,120,450,450,99999,20.0,False,60.88,16.23,677.42,33.871
4,120,540,540,99999,20.0,False,60.88,13.53,644.96,32.248
4,120,720,720,99999,20.0,False,60.88,10.15,604.38,30.219
4,120,99999,inf,99999,20.0,False,60.88,0.0,482.62,24.131
5,30,120,120,748,2.048,True,24.93,6.23,449.6,219.541
5,30,180,180,736,2.015,True,24.53,4.09,422.67,209.754
5,30,240,240,717,1.963,True,23.9,2.99,407.55,207.612
5,30,300,300,705,1.93,True,23.5,2.35,398.7,206.561
5,30,360,360,701,1.919,True,23.37,1.95,393.47,205.012
5,30,450,450,693,1.897,True,23.1,1.54,387.78,204.382
5,30,540,540,642,1.758,True,21.4,1.19,378.47,215.319
5,30,720,720,672,1.84,True,22.4,0.93,378.4,205.671
5,30,99999,inf,475,1.3,True,15.83,0.0,347.5,267.209
5,40,120,120,733,2.007,True,18.32,6.11,428.28,213.407
5,40,180,180,721,1.974,True,18.02,4.01,402.14,203.72
5,40,240,240,703,1.925,True,17.57,2.93,387.88,201.524
5,40,300,300,691,1.892,True,17.27,2.3,379.46,200.578
5,40,360,360,687,1.881,True,17.18,1.91,374.42,199.067
5,40,450,450,677,1.854,True,16.93,1.5,368.83,198.988
5,40,540,540,624,1.708,True,15.6,1.16,360.67,211.111
5,40,720,720,661,1.81,True,16.52,0.92,360.59,199.253
5,40,99999,inf,463,1.268,True,11.57,0.0,334.73,264.057
5,50,120,120,717,1.963,True,14.34,5.97,414.72,211.264
5,50,180,180,706,1.933,True,14.12,3.92,389.43,201.47
5,50,240,240,691,1.892,True,13.82,2.88,376.01,198.752
5,50,300,300,677,1.854,True,13.54,2.26,367.7,198.379
5,50,360,360,670,1.834,True,13.4,1.86,362.53,197.635
5,50,450,450,660,1.807,True,13.2,1.47,357.2,197.678
5,50,540,540,607,1.662,True,12.14,1.12,349.91,210.551
5,50,720,720,651,1.782,True,13.02,0.9,349.91,196.32
5,50,99999,inf,453,1.24,True,9.06,0.0,327.18,263.802
5,60,120,120,704,1.927,True,11.73,5.87,405.6,210.434
5,60,180,180,692,1.895,True,11.53,3.84,380.73,200.958
5,60,240,240,678,1.856,True,11.3,2.83,367.8,198.14
5,60,300,300,663,1.815,True,11.05,2.21,359.67,198.144
5,60,360,360,657,1.799,True,10.95,1.82,354.75,197.218
5,60,450,450,645,1.766,True,10.75,1.43,349.45,197.886
5,60,540,540,591,1.618,True,9.85,1.09,342.68,211.785
5,60,720,720,640,1.752,True,10.67,0.89,342.67,195.561
5,60,99999,inf,443,1.213,True,7.38,0.0,322.15,265.61
5,70,120,120,688,1.884,True,9.83,5.73,398.29,211.445
5,70,180,180,677,1.854,True,9.67,3.76,374.15,201.857
5,70,240,240,666,1.823,True,9.51,2.77,361.84,198.443
5,70,300,300,653,1.788,True,9.33,2.18,354.11,198.066
5,70,360,360,647,1.771,True,9.24,1.8,349.3,197.187
5,70,450,450,626,1.714,True,8.94,1.39,343.52,200.434
5,70,540,540,582,1.593,True,8.31,1.08,337.88,212.043
5,70,720,720,628,1.719,True,8.97,0.87,337.38,196.224
5,70,99999,inf,435,1.191,True,6.21,0.0,318.64,267.55
5,80,120,120,681,1.864,True,8.51,5.67,393.64,211.125
5,80,180,180,667,1.826,True,8.34,3.71,369.48,202.327
5,80,240,240,652,1.785,True,8.15,2.72,357.05,200.019
5,80,300,300,632,1.73,True,7.9,2.11,348.98,201.685
5,80,360,360,626,1.714,True,7.83,1.74,344.34,200.912
5,80,450,450,614,1.681,True,7.67,1.36,339.4,201.898
5,80,540,540,569,1.558,True,7.11,1.05,333.98,214.388
5,80,720,720,619,1.695,True,7.74,0.86,333.53,196.804
5,80,99999,inf,427,1.169,True,5.34,0.0,316.01,270.313
5,90,120,120,662,1.812,True,7.36,5.52,388.27,214.221
5,90,180,180,650,1.78,True,7.22,3.61,365.0,205.102
5,90,240,240,641,1.755,True,7.12,2.67,353.42,201.381
5,90,300,300,626,1.714,True,6.96,2.09,345.91,201.825
5,90,360,360,618,1.692,True,6.87,1.72,341.2,201.656
5,90,450,450,597,1.634,True,6.63,1.33,335.82,205.458
5,90,540,540,560,1.533,True,6.22,1.04,331.11,215.961
5,90,720,720,608,1.665,True,6.76,0.84,330.4,198.485
5,90,99999,inf,417,1.142,True,4.63,0.0,313.9,274.945
5,100,120,120,650,1.78,True,6.5,5.42,384.5,216.059
5,100,180,180,642,1.758,True,6.42,3.57,362.06,205.985
5,100,240,240,635,1.739,True,6.35,2.65,350.8,201.779
5,100,300,300,614,1.681,True,6.14,2.05,342.98,204.028
5,100,360,360,602,1.648,True,6.02,1.67,338.13,205.151
5,100,450,450,574,1.572,True,5.74,1.28,332.53,211.595
5,100,540,540,551,1.509,True,5.51,1.02,328.77,217.94
5,100,720,720,599,1.64,True,5.99,0.83,327.95,199.975
5,100,99999,inf,412,1.128,True,4.12,0.0,312.36,276.916
5,120,120,120,620,1.697,True,5.17,5.17,377.5,222.39
5,120,180,180,609,1.667,True,5.08,3.38,355.83,213.407
5,120,240,240,604,1.654,True,5.03,2.52,345.3,208.809
5,120,300,300,587,1.607,True,4.89,1.96,338.16,210.411
5,120,360,360,574,1.572,True,4.78,1.59,333.48,212.203
5,120,450,450,551,1.509,True,4.59,1.22,328.47,217.737
5,120,540,540,529,1.448,True,4.41,0.98,324.98,224.384
5,120,720,720,561,1.536,True,4.67,0.78,323.38,210.54
5,120,99999,inf,399,1.092,True,3.33,0.0,309.98,283.755
6,30,120,120,99999,20.0,False,243.5,60.88,1761.0,88.05
6,30,180,180,99999,20.0,False,243.5,40.58,1517.5,75.875
6,30,240,240,99999,20.0,False,243.5,30.44,1395.75,69.787
6,30,300,300,99999,20.0,False,243.5,24.35,1322.7,66.135
6,30,360,360,99999,20.0,False,243.5,20.29,1274.0,63.7
6,30,450,450,99999,20.0,False,243.5,16.23,1225.3,61.265
6,30,540,540,99999,20.0,False,243.5,13.53,1192.83,59.642
6,30,720,720,99999,20.0,False,243.5,10.15,1152.25,57.612
6,30,99999,inf,99999,20.0,False,243.5,0.0,1030.5,51.525
6,40,120,120,99999,20.0,False,182.62,60.88,1578.38,78.919
6,40,180,180,99999,20.0,False,182.62,40.58,1334.88,66.744
6,40,240,240,99999,20.0,False,182.62,30.44,1213.12,60.656
6,40,300,300,99999,20.0,False,182.62,24.35,1140.08,57.004
6,40,360,360,99999,20.0,False,182.62,20.29,1091.38,54.569
6,40,450,450,99999,20.0,False,182.62,16.23,1042.67,52.134
6,40,540,540,99999,20.0,False,182.62,13.53,1010.21,50.51
6,40,720,720,99999,20.0,False,182.62,10.15,969.62,48.481
6,40,99999,inf,99999,20.0,False,182.62,0.0,847.88,42.394
6,50,120,120,99999,20.0,False,146.1,60.88,1468.8,73.44
6,50,180,180,99999,20.0,False,146.1,40.58,1225.3,61.265
6,50,240,240,99999,20.0,False,146.1,30.44,1103.55,55.177
6,50,300,300,99999,20.0,False,146.1,24.35,1030.5,51.525
6,50,360,360,99999,20.0,False,146.1,20.29,981.8,49.09
6,50,450,450,99999,20.0,False,146.1,16.23,933.1,46.655
6,50,540,540,99999,20.0,False,146.1,13.53,900.63,45.032
6,50,720,720,99999,20.0,False,146.1,10.15,860.05,43.002
6,50,99999,inf,99999,20.0,False,146.1,0.0,738.3,36.915
6,60,120,120,99999,20.0,False,121.75,60.88,1395.75,69.787
6,60,180,180,99999,20.0,False,121.75,40.58,1152.25,57.612
6,60,240,240,99999,20.0,False,121.75,30.44,1030.5,51.525
6,60,300,300,99999,20.0,False,121.75,24.35,957.45,47.873
6,60,360,360,99999,20.0,False,121.75,20.29,908.75,45.438
6,60,450,450,99999,20.0,False,121.75,16.23,860.05,43.002
6,60,540,540,99999,20.0,False,121.75,13.53,827.58,41.379
6,60,720,720,99999,20.0,False,121.75,10.15,787.0,39.35
6,60,99999,inf,99999,20.0,False,121.75,0.0,665.25,33.263
6,70,120,120,99999,20.0,False,104.36,60.88,1343.57,67.179
6,70,180,180,99999,20.0,False,104.36,40.58,1100.07,55.004
6,70,240,240,99999,20.0,False,104.36,30.44,978.32,48.916
6,70,300,300,99999,20.0,False,104.36,24.35,905.27,45.264
6,70,360,360,99999,20.0,False,104.36,20.29,856.57,42.829
6,70,450,450,99999,20.0,False,104.36,16.23,807.87,40.394
6,70,540,540,99999,20.0,False,104.36,13.53,775.4,38.77
6,70,720,720,99999,20.0,False,104.36,10.15,734.82,36.741
6,70,99999,inf,99999,20.0,False,104.36,0.0,613.07,30.654
6,80,120,120,99999,20.0,False,91.31,60.88,1304.44,65.222
6,80,180,180,99999,20.0,False,91.31,40.58,1060.94,53.047
6,80,240,240,99999,20.0,False,91.31,30.44,939.19,46.959
6,80,300,300,99999,20.0,False,91.31,24.35,866.14,43.307
6,80,360,360,99999,20.0,False,91.31,20.29,817.44,40.872
6,80,450,450,99999,20.0,False,91.31,16.23,768.74,38.437
6,80,540,540,99999,20.0,False,91.31,13.53,736.27,36.814
6,80,720,720,99999,20.0,False,91.31,10.15,695.69,34.784
6,80,99999,inf,99999,20.0,False,91.31,0.0,573.94,28.697
6,90,120,120,99999,20.0,False,81.17,60.88,1274.0,63.7
6,90,180,180,99999,20.0,False,81.17,40.58,1030.5,51.525
6,90,240,240,99999,20.0,False,81.17,30.44,908.75,45.438
6,90,300,300,99999,20.0,False,81.17,24.35,835.7,41.785
6,90,360,360,99999,20.0,False,81.17,20.29,787.0,39.35
6,90,450,450,99999,20.0,False,81.17,16.23,738.3,36.915
6,90,540,540,99999,20.0,False,81.17,13.53,705.83,35.292
6,90,720,720,99999,20.0,False,81.17,10.15,665.25,33.263
6,90,99999,inf,99999,20.0,False,81.17,0.0,543.5,27.175
6,100,120,120,99999,20.0,False,73.05,60.88,1249.65,62.483
6,100,180,180,99999,20.0,False,73.05,40.58,1006.15,50.307
6,100,240,240,99999,20.0,False,73.05,30.44,884.4,44.22
6,100,300,300,99999,20.0,False,73.05,24.35,811.35,40.568
6,100,360,360,99999,20.0,False,73.05,20.29,762.65,38.133
6,100,450,450,99999,20.0,False,73.05,16.23,713.95,35.698
6,100,540,540,99999,20.0,False,73.05,13.53,681.48,34.074
6,100,720,720,99999,20.0,False,73.05,10.15,640.9,32.045
6,100,99999,inf,99999,20.0,False,73.05,0.0,519.15,25.957
6,120,120,120,99999,20.0,False,60.88,60.88,1213.12,60.656
6,120,180,180,99999,20.0,False,60.88,40.58,969.62,48.481
6,120,240,240,99999,20.0,False,60.88,30.44,847.88,42.394
6,120,300,300,99999,20.0,False,60.88,24.35,774.83,38.741
6,120,360,360,99999,20.0,False,60.88,20.29,726.12,36.306
6,120,450,450,99999,20.0,False,60.88,16.23,677.42,33.871
6,120,540,540,99999,20.0,False,60.88,13.53,644.96,32.248
6,120,720,720,99999,20.0,False,60.88,10.15,604.38,30.219
6,120,99999,inf,99999,20.0,False,60.88,0.0,482.62,24.131
7,30,120,120,1408,3.855,True,46.93,11.73,581.6,150.873
7,30,180,180,1386,3.795,True,46.2,7.7,531.0,139.933
7,30,240,240,1371,3.754,True,45.7,5.71,505.65,134.711
7,30,300,300,1349,3.693,True,44.97,4.5,488.86,132.362
7,30,360,360,1322,3.619,True,44.07,3.67,476.27,131.586
